Date,yearfrac
2016/6/10,0
2016/6/15,0.013888889
2017/6/13,1.008333333
2017/6/16,1.016666667
2016/7/18,0.103825137
2016/8/17,0.18579235
2016/9/19,0.275956284
2016/10/18,0.355191257
2016/11/18,0.43989071
2016/12/19,0.524590164
2017/1/18,0.608219178
2017/2/17,0.690410959
2017/3/17,0.767123288
2017/4/18,0.854794521
2017/5/17,0.934246575
2017/6/16,1.01504788
