Date,Open,High,Low,Close,Volume,Adj Close
2009/12/31,213.130005,213.349997,210.559999,210.730003,88102700,27.302085
2009/12/30,208.83,212.000006,208.310001,211.639997,103021100,27.419983
2009/12/29,212.629993,212.719995,208.729998,209.100006,111301400,27.090903
2009/12/28,211.719999,213.949997,209.610004,211.609997,161141400,27.416096
2009/12/24,203.549999,209.349998,203.349995,209.040005,125222300,27.083129
2009/12/23,201.199999,202.379999,200.810003,202.100006,86381400,26.183986
2009/12/22,199.439999,200.850004,198.659994,200.360006,87378900,25.958552
2009/12/21,196.050001,199.750006,195.670006,198.229998,152976600,25.682589
2009/12/18,193.170002,195.500002,192.600002,195.43,152192600,25.319823
2009/12/17,194.26,195.000004,191.000006,191.859999,97209700,24.857295
2009/12/16,195.100006,196.499998,194.549994,195.030005,88246200,25.268
2009/12/15,195.829996,197.509995,193.270004,194.169998,104864900,25.156578
2009/12/14,195.369999,197.430006,192.560001,196.979996,123947600,25.52064
2009/12/11,197.780001,198.000006,193.429995,194.669996,107443700,25.221357
2009/12/10,199.5,199.700005,196.120003,196.429996,122417400,25.449382
2009/12/9,191.279999,198.159996,190.310003,197.800001,171195500,25.626879
2009/12/8,189.359995,192.349997,188.700006,189.870007,172599700,24.599473
2009/12/7,193.320005,193.770002,188.680006,188.949999,178689700,24.480277
2009/12/4,199.700005,199.879995,190.280003,193.320005,206721200,25.046453
2009/12/3,197.420006,198.980001,196.270006,196.479998,112179900,25.45586
2009/12/2,198.960001,201.420004,195.749994,196.230005,178815000,25.423471
2009/12/1,202.239996,202.769995,196.830006,196.969995,116440800,25.519344
2009/11/30,201.109997,201.679996,198.769997,199.909996,106214500,25.900249
2009/11/27,199.219994,202.959999,198.370001,200.589998,73814300,25.98835
2009/11/25,205.400002,205.649994,203.760004,204.190001,71613500,26.454765
2009/11/24,205.33,205.879999,202.899998,204.440006,79609600,26.487155
2009/11/23,203,206.000002,202.949999,205.879999,118724200,26.67372
2009/11/20,199.150005,200.389994,197.76,199.919996,101666600,25.901545
2009/11/19,204.609997,204.609997,199.799994,200.509996,135581600,25.977985
2009/11/18,206.540001,206.999998,203.999996,205.960001,93580200,26.684085
2009/11/17,206.080004,207.439995,205.000006,206.999998,99128400,26.818827
2009/11/16,205.480003,207.999994,205.010006,206.630003,121301600,26.77089
2009/11/13,202.869997,204.830002,202.070005,204.450006,85810200,26.488451
2009/11/12,203.140003,204.870003,201.430004,201.990004,90932800,26.169734
2009/11/11,204.559996,205.000006,201.83,203.250006,110967500,26.332979
2009/11/10,201.019995,204.980005,201.009995,202.98,100298800,26.297998
2009/11/9,196.939995,201.900002,196.260006,201.460005,132213900,26.101068
2009/11/6,192.51,195.189995,192.399998,194.340002,73774400,25.178603
2009/11/5,192.399998,195.000004,191.819998,194.029995,96200300,25.138439
2009/11/4,190.73,193.850004,190.230001,190.810001,121882600,24.721258
2009/11/3,187.85,189.519999,185.919996,188.749994,130635400,24.454365
2009/11/2,189.800005,192.879995,185.570002,189.309994,169745800,24.526918
2009/10/30,196.060001,196.800005,188.169994,188.500002,179381300,24.421976
2009/10/29,195.000004,196.810005,192.140005,196.349995,142567600,25.439017
2009/10/28,197.709999,198.020006,191.099995,192.399998,204596700,24.927257
2009/10/27,201.659996,202.809996,196.449997,197.370005,189137900,25.571169
2009/10/26,203.670002,206.750006,200.1,202.480001,121084600,26.233218
2009/10/23,205.699995,205.799997,203.230005,203.939995,105196700,26.422374
2009/10/22,204.699999,207.850004,202.510002,205.199997,197848000,26.585619
2009/10/21,199.52,208.709997,199.229994,204.920004,298431700,26.549344
2009/10/20,200.599998,201.749998,197.850002,198.759996,285259800,25.751256
2009/10/19,187.85,189.999996,185.550001,189.860006,235557700,24.598177
2009/10/16,189.349995,190.360004,187.84,188.050005,107856700,24.363674
2009/10/15,189.630001,190.920004,189.529999,190.559996,93389100,24.688867
2009/10/14,192.249994,192.319996,190.230001,191.289999,93877700,24.783446
2009/10/13,190.629997,191.169996,189.700003,190.019997,87005100,24.618905
2009/10/12,191.020006,191.510004,189.640001,190.810001,72006200,24.721258
2009/10/9,188.969999,190.699999,188.620005,190.469994,73318000,24.677207
2009/10/8,190.659998,191.450003,188.889997,189.270006,109552800,24.521737
2009/10/7,189.760004,190.549995,189.030001,190.250002,116417000,24.648705
